ID,Address,Latitude,Longitude,IsAStudio,Beds,Baths,Size,LotSize,LotSizeUnit,BuiltInYear,DateOfSale,SalePrice
15144522,"155 Hancock St APT 1, San Francisco, CA",37760034,-122431770,False,1.0,1.0,712.0,,,1979.0,12/11/15,0.957
15144527,"155 Hancock St APT 6, San Francisco, CA",37760035,-122431771,False,1.0,1.0,712.0,,,1979.0,12/11/15,0.957
15144738,"3452-3456 19TH St, San Francisco, CA",37760364,-122420463,False,,3.0,3081.0,2125.0,sqft,1907.0,12/14/15,0.0951
15145020,"3928 20th St, San Francisco, CA",37758289,-122428794,False,4.0,4.0,3500.0,2848.0,sqft,1913.0,12/16/15,4.8
15145308,"4121-4123 20TH St, San Francisco, CA",37757539,-122433070,False,4.0,2.0,2100.0,2848.0,sqft,1900.0,11/25/15,2.07
15145355,"429 Liberty St, San Francisco, CA",37756871,-122430875,False,2.0,2.0,1990.0,3049.0,sqft,1907.0,11/17/15,2.65
15145720,"956 S Van Ness Ave, San Francisco, CA",37757832,-122417139,False,4.0,4.0,3500.0,4165.0,sqft,1872.0,11/23/15,2.67
15145732,"507 Capp St, San Francisco, CA",37758302,-122417615,False,4.0,2.5,2262.0,4800.0,sqft,1900.0,11/13/15,4.1
15146014,"62-64 Fair Oaks St, San Francisco, CA",37755706,-122424652,False,,2.0,1816.0,2583.0,sqft,1900.0,12/18/15,1.02
15146149,"849 Sanchez St, San Francisco, CA",37755720,-122429819,False,3.0,3.5,2935.0,2212.0,sqft,1938.0,11/13/15,4.1
15146224,"419 Hill St, San Francisco, CA",37755283,-122430545,False,3.0,2.0,2000.0,2848.0,sqft,1908.0,12/18/15,2.5
15146597,"3615 22nd St, San Francisco, CA",37754704,-122428164,False,3.0,2.5,1519.0,,,1911.0,11/17/15,1.48
15146666,"979 Dolores St, San Francisco, CA",37753745,-122424926,False,3.0,2.0,1405.0,,,1907.0,11/12/15,1.88
15146704,"62-64 San Jose Ave, San Francisco, CA",37754174,-122421710,True,,,2720.0,1742.0,sqft,1922.0,11/25/15,1.8
15146876,"934 Shotwell St, San Francisco, CA",37752854,-122415524,False,,1.0,1590.0,4896.0,sqft,1900.0,12/18/15,0.6155
15147178,"456 Elizabeth St, San Francisco, CA",37752523,-122431083,False,2.0,2.0,1410.0,2905.0,sqft,1934.0,11/10/15,2.25
15147213,"1059 Noe St, San Francisco, CA",37752026,-122431666,False,3.0,2.5,2545.0,2269.0,sqft,1912.0,12/23/15,2.5
15147285,"533 Elizabeth St, San Francisco, CA",37751929,-122432815,False,4.0,3.0,1744.0,2850.0,sqft,1955.0,12/18/15,1.88
15147343,"643 Natoma St, San Francisco, CA",37777525,-122410787,False,2.0,1.0,875.0,,,1910.0,12/17/15,0.875
15147378,"180 7th St # 408, San Francisco, CA",37778082,-122410082,False,1.0,1.0,470.0,,,1992.0,12/31/15,0.55
15147481,"469 Clementina St APT 12, San Francisco, CA",37779336,-122405351,False,1.0,1.0,600.0,,,1993.0,12/11/15,0.65
15147528,"75 Folsom St APT 801, San Francisco, CA",37789800,-122389765,False,2.0,2.0,1287.0,,,1991.0,12/9/15,1.55
15147628,"81 Lansing St APT 410, San Francisco, CA",37785651,-122394030,False,1.0,1.0,855.0,,,1995.0,12/29/15,0.778
15147936,"271 Clara St # 2, San Francisco, CA",37778136,-122403785,False,1.0,1.0,985.0,1685.0,sqft,1907.0,12/31/15,0.8
15147987,"130A Langton St # A, San Francisco, CA",37775760,-122407960,False,2.0,1.5,1000.0,,,1906.0,12/14/15,0.75
15147990,"134 Langton St, San Francisco, CA",37775715,-122407900,False,2.0,1.5,1000.0,,,1906.0,11/25/15,0.765
15148102,"461 2nd St APT T354, San Francisco, CA",37783699,-122393590,False,1.0,1.0,619.0,,,1907.0,12/9/15,0.62
15148103,"461 2nd St APT T355, San Francisco, CA",37783699,-122393590,False,1.0,1.0,653.0,,,1907.0,12/9/15,0.303
15148222,"201 Harrison St APT 407, San Francisco, CA",37787585,-122390480,True,,1.0,410.0,,,1991.0,12/29/15,0.525
15148444,"38 Bryant St APT 606, San Francisco, CA",37787466,-122388980,False,1.0,1.0,582.0,,,1994.0,12/21/15,0.65
15148570,"403 Main St APT 313N, San Francisco, CA",37788008,-122389643,False,1.0,1.0,811.0,,,1997.0,11/23/15,0.81
15148755,"39 Boardman Pl APT 101, San Francisco, CA",37774794,-122402799,False,1.0,1.5,1255.0,,,1996.0,11/20/15,0.905
15148821,"354-358 Utah St, San Francisco, CA",37765066,-122406787,False,5.0,3.0,4350.0,2500.0,sqft,1908.0,12/10/15,1.04
